Id,District,County,Parish,Address,Latitude,Longitude,Inspection Utility,Inspection Time,Opening Hours
0,Porto,Porto,Bonfim,"Rua Gil Vicente, 30, Portugal",41.160304,-8.602478,0,0,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
1,Porto,Valongo,Ermesinde,"Travessa Comandante Capas Peneda 71, 4445-285 Valongo, Portugal",41.21827,-8.54907,0.54,60,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
2,Porto,Vila Nova de Gaia,Rechousa,"Rua Industrial de São Caetano, 4410-311 Vila Nova de Gaia, Portugal",41.09615,-8.60412,0.2,30,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
3,Porto,Maia,Vermoim,"Rua de Currais 89, 4470-248 Maia, Portugal",41.23835,-8.61514,0.46,120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
4,Porto,Paredes,Rebordosa,"Avenida dos Bombeiros Voluntários 34, 4585-359 Paredes, Portugal",41.22193,-8.40922,0.52,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
5,Porto,Vila Nova de Gaia,Vila Nova de Gaia,"Rua de Angola 154, 4430-014 Vila Nova de Gaia, Portugal",41.12229,-8.60395,0.42,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
6,Porto,Vila Nova de Gaia,Avintes,"Rua 5 de Outubro 3067, 4430-796 Vila Nova de Gaia, Portugal",41.1132791,-8.5602083,0.38,30,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
7,Porto,Vila do Conde,Vila do Conde,"Rua São Francisco 74, 4480-783 Vila do Conde, Portugal",41.35644,-8.73876,0.58,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
8,Porto,Porto,Foz do Douro,"Rua Cândida Sá de Albergaria 183, 4150-185 Porto, Portugal",41.15374,-8.6761,0.35,120,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
9,Porto,Amarante,Amarante,"Rua Bairro Coronel Carvalho Lima 4, 4600-062 Amarante, Portugal",41.27146,-8.07606,0.58,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
10,Porto,Lousada,São Jorge,"Rua da Arroteia, 4620-031 Lousada, Portugal",41.25776,-8.27632,0.78,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
11,Porto,Paços de Ferreira,,"Paços de Ferreira, Portugal",41.27825927734375,-8.37596607208252,0.9,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
12,Porto,,,"Largo de Nevogilde 64, 4150-527 Porto, Portugal",41.16335,-8.67603,0.12,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
13,Porto,,,"Rua do Espido, 4470-177 Maia, Portugal",41.234,-8.63984,0.75,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
14,Porto,Vila Nova de Gaia,Aldeia Nova,"Aldeia Nova, Vila Nova de Gaia, Portugal",41.02907,-8.56025,0.4,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
15,Porto,Marco de Canaveses,Marco de Canaveses,"Avenida Gago Coutinho 248, 4630-206 Marco de Canaveses, Portugal",41.18749,-8.14529,0.27,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
16,Porto,Gondomar,Gandra,"Urbanização Escosta do Douro 42, 4420 Gondomar, Portugal",41.12343,-8.54276,0.76,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
17,Porto,,,"Rua António Bessa Leite, 4150-074 Porto, Portugal",41.15924,-8.64354,0.37,30,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
18,Porto,Maia,Parada,"Rua Manuel Gonçalves Lage 948, 4425-122 Maia, Portugal",41.20219,-8.59511,0.45,120,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
19,Porto,Porto,Bonfim,"Rua das Eirinhas 95, 4300-165 Porto, Portugal",41.15286,-8.59413,0.05,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
20,Porto,Póvoa de Varzim,Beiriz de Baixo,"Rua da Póvoa, 4495-121 Póvoa de Varzim, Portugal",41.39751,-8.74203,0.76,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
21,Porto,Porto,Paranhos,"Rua do Carvalhido 299, 4250-100 Porto, Portugal",41.1683211,-8.6252457,0.94,30,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
22,Porto,Vila Nova de Gaia,Vila Nova de Gaia,"Rua do Agueiro 99, 4400-004 Vila Nova de Gaia, Portugal",41.121207,-8.6087526,0.49,60,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
23,Porto,Porto,Paranhos,"Rua do Cantor Zeca Afonso 686, 4200-534 Porto, Portugal",41.16307,-8.60883,0.48,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
24,Porto,Gondomar,Gondomar,"Rua do Outeiro 139, 4420-237 Gondomar, Portugal",41.14408,-8.52485,0.26,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
25,Porto,Matosinhos,Leça do Balio,"Leça do Balio, Matosinhos, Portugal",41.20834,-8.61359,0.25,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
26,Porto,Baião,Parada,"Calçada de Parada 7, 4640-542 Baião, Portugal",41.15617,-7.9169,0.03,60,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
27,Porto,Lousada,Chamusca,"Rua da Vinha, 4620-402 Lousada, Portugal",41.26156,-8.28951,0.55,30,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
28,Porto,,,"Praceta Júlio Dinis, 4420-173 Gondomar, Portugal",41.1267,-8.54236,0.95,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
29,Porto,,,"Avenida de São Rosendo 113, 4780-364 Santo Tirso, Portugal",41.3414276,-8.4786732,0.21,60,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
30,Porto,,,"Rua de António Pereira Maia, 4470-486 Maia, Portugal",41.23025,-8.61063,0.28,120,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 0]"
31,Porto,Porto,Foz do Douro,"Rua do Monte da Luz 21, Porto (Foz do Douro)",41.15454,-8.67889,0.76,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]"
32,Porto,,,"Avenida de Dom Afonso Henriques 841, 4450-015 Matosinhos, Portugal",41.18163,-8.68251,0.71,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
33,Porto,Póvoa de Varzim,A Ver-o-Mar,"Rua de Silva Porto 30, 4490-195 Póvoa de Varzim, Portugal",41.3953,-8.7655,0.43,120,"[1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 1]"
34,Porto,,,"Rua Jaime Cortesão, 4440-662 Valongo, Portugal",41.19219,-8.50826,0.11,30,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
35,Porto,,,"Rua Boavista 340, 4435-030 Gondomar, Portugal",41.17554,-8.55614,0.12,120,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
